score,darts_remaining,target_amount,target,target_text
179,3,60,T20,Treble Twenty
180,1,60,T20,Treble Twenty
180,2,60,T20,Treble Twenty
180,3,60,T20,Treble Twenty
181,1,60,T20,Treble Twenty
181,2,60,T20,Treble Twenty
181,3,60,T20,Treble Twenty
182,1,54,T18,Treble Eighteen
182,2,60,T20,Treble Twenty
182,3,60,T20,Treble Twenty
183,1,57,T19,Treble Nineteen
183,2,60,T20,Treble Twenty
183,3,60,T20,Treble Twenty
184,1,60,T20,Treble Twenty
184,2,60,T20,Treble Twenty
184,3,60,T20,Treble Twenty
185,1,54,T18,Treble Eighteen
185,2,60,T20,Treble Twenty
185,3,60,T20,Treble Twenty
186,1,57,T19,Treble Nineteen
186,2,60,T20,Treble Twenty
186,3,60,T20,Treble Twenty
187,1,60,T20,Treble Twenty
187,2,60,T20,Treble Twenty
187,3,60,T20,Treble Twenty
188,1,54,T18,Treble Eighteen
188,2,60,T20,Treble Twenty
188,3,60,T20,Treble Twenty
189,1,57,T19,Treble Nineteen
189,2,60,T20,Treble Twenty
189,3,60,T20,Treble Twenty
190,1,60,T20,Treble Twenty
190,2,60,T20,Treble Twenty
190,3,60,T20,Treble Twenty
191,1,60,T20,Treble Twenty
191,2,60,T20,Treble Twenty
191,3,60,T20,Treble Twenty
192,1,60,T20,Treble Twenty
192,2,60,T20,Treble Twenty
192,3,60,T20,Treble Twenty
193,1,60,T20,Treble Twenty
193,2,60,T20,Treble Twenty
193,3,60,T20,Treble Twenty
194,1,60,T20,Treble Twenty
194,2,60,T20,Treble Twenty
194,3,60,T20,Treble Twenty
195,1,60,T20,Treble Twenty
195,2,60,T20,Treble Twenty
195,3,60,T20,Treble Twenty
196,1,60,T20,Treble Twenty
196,2,60,T20,Treble Twenty
196,3,60,T20,Treble Twenty
197,1,60,T20,Treble Twenty
197,2,60,T20,Treble Twenty
197,3,60,T20,Treble Twenty
198,1,60,T20,Treble Twenty
198,2,60,T20,Treble Twenty
198,3,60,T20,Treble Twenty
199,1,60,T20,Treble Twenty
199,2,60,T20,Treble Twenty
199,3,60,T20,Treble Twenty
200,1,60,T20,Treble Twenty
200,2,60,T20,Treble Twenty
200,3,60,T20,Treble Twenty
201,1,60,T20,Treble Twenty
201,2,60,T20,Treble Twenty
201,3,60,T20,Treble Twenty
202,1,60,T20,Treble Twenty
202,2,60,T20,Treble Twenty
202,3,60,T20,Treble Twenty
203,1,60,T20,Treble Twenty
203,2,60,T20,Treble Twenty
203,3,60,T20,Treble Twenty
204,1,60,T20,Treble Twenty
204,2,60,T20,Treble Twenty
204,3,60,T20,Treble Twenty
205,1,60,T20,Treble Twenty
205,2,60,T20,Treble Twenty
205,3,60,T20,Treble Twenty
206,1,60,T20,Treble Twenty
206,2,60,T20,Treble Twenty
206,3,60,T20,Treble Twenty
207,1,60,T20,Treble Twenty
207,2,60,T20,Treble Twenty
207,3,60,T20,Treble Twenty
208,1,60,T20,Treble Twenty
208,2,60,T20,Treble Twenty
208,3,60,T20,Treble Twenty
209,1,60,T20,Treble Twenty
209,2,60,T20,Treble Twenty
209,3,60,T20,Treble Twenty
210,1,60,T20,Treble Twenty
210,2,60,T20,Treble Twenty
210,3,60,T20,Treble Twenty
211,1,60,T20,Treble Twenty
211,2,60,T20,Treble Twenty
211,3,60,T20,Treble Twenty
212,1,60,T20,Treble Twenty
212,2,60,T20,Treble Twenty
212,3,60,T20,Treble Twenty
213,1,60,T20,Treble Twenty
213,2,60,T20,Treble Twenty
213,3,60,T20,Treble Twenty
214,1,60,T20,Treble Twenty
214,2,60,T20,Treble Twenty
214,3,60,T20,Treble Twenty
215,1,60,T20,Treble Twenty
215,2,60,T20,Treble Twenty
215,3,60,T20,Treble Twenty
216,1,60,T20,Treble Twenty
216,2,60,T20,Treble Twenty
216,3,60,T20,Treble Twenty
217,1,60,T20,Treble Twenty
217,2,60,T20,Treble Twenty
217,3,60,T20,Treble Twenty
218,1,60,T20,Treble Twenty
218,2,60,T20,Treble Twenty
218,3,60,T20,Treble Twenty
219,1,60,T20,Treble Twenty
219,2,60,T20,Treble Twenty
219,3,60,T20,Treble Twenty
220,1,60,T20,Treble Twenty
220,2,60,T20,Treble Twenty
220,3,60,T20,Treble Twenty
221,1,60,T20,Treble Twenty
221,2,60,T20,Treble Twenty
221,3,60,T20,Treble Twenty
222,1,60,T20,Treble Twenty
222,2,60,T20,Treble Twenty
222,3,60,T20,Treble Twenty
223,1,60,T20,Treble Twenty
223,2,60,T20,Treble Twenty
223,3,60,T20,Treble Twenty
224,1,60,T20,Treble Twenty
224,2,60,T20,Treble Twenty
224,3,60,T20,Treble Twenty
225,1,60,T20,Treble Twenty
225,2,60,T20,Treble Twenty
225,3,60,T20,Treble Twenty
226,1,60,T20,Treble Twenty
226,2,60,T20,Treble Twenty
226,3,60,T20,Treble Twenty
227,1,60,T20,Treble Twenty
227,2,60,T20,Treble Twenty
227,3,60,T20,Treble Twenty
228,1,60,T20,Treble Twenty
228,2,60,T20,Treble Twenty
228,3,60,T20,Treble Twenty
229,1,60,T20,Treble Twenty
229,2,60,T20,Treble Twenty
229,3,60,T20,Treble Twenty
230,1,60,T20,Treble Twenty
230,2,60,T20,Treble Twenty
230,3,60,T20,Treble Twenty
231,1,60,T20,Treble Twenty
231,2,60,T20,Treble Twenty
231,3,60,T20,Treble Twenty
232,1,60,T20,Treble Twenty
232,2,60,T20,Treble Twenty
232,3,60,T20,Treble Twenty
233,1,60,T20,Treble Twenty
233,2,60,T20,Treble Twenty
233,3,60,T20,Treble Twenty
234,1,60,T20,Treble Twenty
234,2,60,T20,Treble Twenty
234,3,60,T20,Treble Twenty
235,1,60,T20,Treble Twenty
235,2,60,T20,Treble Twenty
235,3,60,T20,Treble Twenty
236,1,60,T20,Treble Twenty
236,2,60,T20,Treble Twenty
236,3,60,T20,Treble Twenty
237,1,60,T20,Treble Twenty
237,2,60,T20,Treble Twenty
237,3,60,T20,Treble Twenty
238,1,60,T20,Treble Twenty
238,2,60,T20,Treble Twenty
238,3,60,T20,Treble Twenty
239,1,60,T20,Treble Twenty
239,2,60,T20,Treble Twenty
239,3,60,T20,Treble Twenty
240,1,60,T20,Treble Twenty
240,2,60,T20,Treble Twenty
240,3,60,T20,Treble Twenty
241,1,60,T20,Treble Twenty
241,2,60,T20,Treble Twenty
241,3,60,T20,Treble Twenty
242,1,60,T20,Treble Twenty
242,2,60,T20,Treble Twenty
242,3,60,T20,Treble Twenty
243,1,60,T20,Treble Twenty
243,2,60,T20,Treble Twenty
243,3,60,T20,Treble Twenty
244,1,60,T20,Treble Twenty
244,2,60,T20,Treble Twenty
244,3,60,T20,Treble Twenty
245,1,60,T20,Treble Twenty
245,2,60,T20,Treble Twenty
245,3,60,T20,Treble Twenty
246,1,60,T20,Treble Twenty
246,2,60,T20,Treble Twenty
246,3,60,T20,Treble Twenty
247,1,60,T20,Treble Twenty
247,2,60,T20,Treble Twenty
247,3,60,T20,Treble Twenty
248,1,60,T20,Treble Twenty
248,2,60,T20,Treble Twenty
248,3,60,T20,Treble Twenty
249,1,60,T20,Treble Twenty
249,2,60,T20,Treble Twenty
249,3,60,T20,Treble Twenty
250,1,60,T20,Treble Twenty
250,2,60,T20,Treble Twenty
250,3,60,T20,Treble Twenty
251,1,60,T20,Treble Twenty
251,2,60,T20,Treble Twenty
251,3,60,T20,Treble Twenty
252,1,60,T20,Treble Twenty
252,2,60,T20,Treble Twenty
252,3,60,T20,Treble Twenty
253,1,60,T20,Treble Twenty
253,2,60,T20,Treble Twenty
253,3,60,T20,Treble Twenty
254,1,60,T20,Treble Twenty
254,2,60,T20,Treble Twenty
254,3,60,T20,Treble Twenty
255,1,60,T20,Treble Twenty
255,2,60,T20,Treble Twenty
255,3,60,T20,Treble Twenty
256,1,60,T20,Treble Twenty
256,2,60,T20,Treble Twenty
256,3,60,T20,Treble Twenty
257,1,60,T20,Treble Twenty
257,2,60,T20,Treble Twenty
257,3,60,T20,Treble Twenty
258,1,60,T20,Treble Twenty
258,2,60,T20,Treble Twenty
258,3,60,T20,Treble Twenty
259,1,60,T20,Treble Twenty
259,2,60,T20,Treble Twenty
259,3,60,T20,Treble Twenty
260,1,60,T20,Treble Twenty
260,2,60,T20,Treble Twenty
260,3,60,T20,Treble Twenty
261,1,60,T20,Treble Twenty
261,2,60,T20,Treble Twenty
261,3,60,T20,Treble Twenty
262,1,60,T20,Treble Twenty
262,2,60,T20,Treble Twenty
262,3,60,T20,Treble Twenty
263,1,60,T20,Treble Twenty
263,2,60,T20,Treble Twenty
263,3,60,T20,Treble Twenty
264,1,60,T20,Treble Twenty
264,2,60,T20,Treble Twenty
264,3,60,T20,Treble Twenty
265,1,60,T20,Treble Twenty
265,2,60,T20,Treble Twenty
265,3,60,T20,Treble Twenty
266,1,60,T20,Treble Twenty
266,2,60,T20,Treble Twenty
266,3,60,T20,Treble Twenty
267,1,60,T20,Treble Twenty
267,2,60,T20,Treble Twenty
267,3,60,T20,Treble Twenty
268,1,60,T20,Treble Twenty
268,2,60,T20,Treble Twenty
268,3,60,T20,Treble Twenty
269,1,60,T20,Treble Twenty
269,2,60,T20,Treble Twenty
269,3,60,T20,Treble Twenty
270,1,60,T20,Treble Twenty
270,2,60,T20,Treble Twenty
270,3,60,T20,Treble Twenty
271,1,60,T20,Treble Twenty
271,2,60,T20,Treble Twenty
271,3,60,T20,Treble Twenty
272,1,60,T20,Treble Twenty
272,2,60,T20,Treble Twenty
272,3,60,T20,Treble Twenty
273,1,60,T20,Treble Twenty
273,2,60,T20,Treble Twenty
273,3,60,T20,Treble Twenty
274,1,60,T20,Treble Twenty
274,2,60,T20,Treble Twenty
274,3,60,T20,Treble Twenty
275,1,60,T20,Treble Twenty
275,2,60,T20,Treble Twenty
275,3,60,T20,Treble Twenty
276,1,60,T20,Treble Twenty
276,2,60,T20,Treble Twenty
276,3,60,T20,Treble Twenty
277,1,60,T20,Treble Twenty
277,2,60,T20,Treble Twenty
277,3,60,T20,Treble Twenty
278,1,60,T20,Treble Twenty
